nodeid,nodenm,gpslati,gpslong
CJB270000548,화창리(아래숫골),36.6621664,127.61326258
CJB270000549,기암2리,36.67016882,127.62901683
CJB270000550,미원3리,36.62465263,127.65904808
CJB270000551,미원3리,36.62464231,127.65892313
CJB270000552,운동초등학교,36.60497976,127.5118958
CJB270000553,운동초등학교,36.60485032,127.51160994
CJB270000554,차고지,36.61083807,127.53776604
CJB270000555,차고지,36.61071252,127.53763104
CJB270000556,가중2리(버스종점),36.57251171,127.47095064
CJB270000557,현암1리,36.65517711,127.56091762
CJB270000558,현암1리,36.65502346,127.56101437
CJB270000559,한계리종점,36.6078763,127.56298079
CJB270000560,양절,36.57986227,127.39544759
CJB270000561,양절,36.57977855,127.3955589
CJB270000562,상발리,36.58748286,127.40308501
CJB270000563,상발리,36.58706749,127.40066362
CJB270000564,상발리,36.58695205,127.40082505
CJB270000565,월오수변공원,36.6284593,127.54724066
CJB270000566,용정축구공원,36.63346434,127.5166236
CJB270000567,용정축구공원,36.63332178,127.51624809
CJB270000568,용암서희스타힐스아파트,36.61198391,127.49912393
CJB270000569,용암서희스타힐스아파트,36.61179675,127.49916744
CJB270000570,오송역북문,36.6239081,127.32607668
CJB270000571,오송역북문,36.6236111,127.32594128
CJB270000572,오송역북문삼거리,36.62254985,127.32764446
CJB270000573,오송역북문삼거리,36.62245144,127.32738133
CJB270000574,연제리지하차도앞,36.62323654,127.3294333
CJB270000575,국립현대미술관,36.65491636,127.48869221
CJB270000576,현암리(검배마을),36.65463149,127.5600525
CJB270000577,현암리입구,36.65358067,127.55738874
CJB270000578,강내초등학교,36.59807039,127.35745036
CJB270000579,강내초등학교,36.59806849,127.35733301
CJB270000580,다락리마을회관,36.6003544,127.35757825
CJB270000581,다락리마을회관,36.6002942,127.35736842
CJB270000583,충북경제자유구역청,36.63506121,127.32796578
CJB270000584,충북경제자유구역청,36.63527345,127.32779616
CJB270000585,충북창조경제혁신센터,36.63544844,127.32559699
CJB270000586,충북대약학대학,36.63587841,127.32488878
CJB270000587,모과공원,36.63843907,127.31767335
CJB270000588,모과공원,36.63792055,127.31865241
CJB270000589,오송베스티안병원,36.63616018,127.32234061
CJB270000590,충북보건환경연구원,36.63552712,127.32234636
CJB270000591,화장품임상연구지원센터,36.63859709,127.31243816
CJB270000592,화장품임상연구지원센터,36.63849969,127.31263903
CJB270000593,연제리지하차도앞,36.62305359,127.329603
CJB270000596,검배마을,36.65549678,127.56192091
CJB270000597,LG화학제2공장,36.73042123,127.44803154
CJB270000598,LG화학제2공장,36.73081746,127.44810101
CJB270000599,네패스,36.72573376,127.44366652
CJB270000600,네패스,36.72606754,127.44356769
CJB270000603,방서하트리움아파트,36.59685559,127.50086766
CJB270000604,방서하트리움아파트,36.59658736,127.50090225
CJB270000605,용암임광아파트,36.61112671,127.50792084
CJB270000607,봉명종점,36.65811145,127.45734269
CJB270000609,돌고개,36.61144766,127.53496746
CJB270000610,상당경찰서,36.60983516,127.53183221
CJB270000611,상당경찰서,36.60915315,127.53119321
CJB270000612,백운마을입구,36.60723278,127.52633197
CJB270000613,백운마을입구,36.60703554,127.52610429
CJB270000615,베틀어린이공원,36.67826774,127.39080725
CJB270000616,베틀어린이공원,36.67839802,127.39023735
CJB270000617,리버파크자이아파트,36.67554417,127.38940908
CJB270000618,리버파크자이아파트,36.67554381,127.38951815
CJB270000619,코오롱하늘채아파트,36.67065519,127.38187001
CJB270000620,가락1리,36.66993532,127.38851668
CJB270000621,가락1리,36.67009303,127.38851188
CJB270000622,소로초등학교,36.67108855,127.38995993
CJB270000623,소로초등학교,36.67097554,127.39007122
CJB270000625,국사2리(봉점),36.67814496,127.3979526
CJB270000626,봉명종점,36.65781281,127.45708368
CJB270000627,사천초등학교,36.66989267,127.47992183
CJB270000628,사천초등학교,36.66952467,127.47955879
CJB270000629,효성아파트,36.66756694,127.48012831
CJB270000630,삼성아파트,36.66809027,127.47995818
CJB270000631,충북대오송바이오캠퍼스,36.63676202,127.32635447
CJB270000632,용성중학교,36.62783859,127.51931959
CJB270000633,용암중학교,36.61066956,127.50788151
CJB270000634,오송역종점,36.61918733,127.32729207
CJB270000635,오송역2.3.4,36.61929568,127.32721428
CJB270000636,오송역5,36.61938385,127.32710006
CJB270000637,오송역6,36.61946073,127.32699698
CJB270000638,오송역8,36.6196076,127.3268383
CJB278000017,증평우체국.증평군청,36.78470355,127.58191046
CJB278000018,농협중앙회,36.78635299,127.58413322
CJB278000019,주공아파트,36.78937441,127.59069463
CJB278000020,형석중.고등학교,36.79072416,127.59441481
CJB278000021,형석중.고등학교,36.79098806,127.59459145
CJB278000022,증평커텐.증평장뜰시장,36.78409712,127.58475697
CJB278000023,증평초등학교.한국농어촌공사,36.78383455,127.58729798
CJB278000024,증평중학교,36.78302838,127.58950994
CJB278000025,증천2리,36.78118875,127.59385339
CJB278000026,협업농장,36.77534178,127.5992749
CJB278000027,협업농장,36.77522764,127.59947576
CJB278000028,남하리,36.76395535,127.60524856
CJB278000029,덕상2리,36.7611165,127.60881582
CJB278000030,용강1리.내룡.증평군농업기술센터,36.77444182,127.60723746
CJB278000031,용강2.3리(곡강.외룡),36.77152776,127.61303466
CJB278000032,한국교통대,36.7716465,127.6183642
CJB278000033,증평공업고등학교,36.78271276,127.59091904
CJB278000034,증평삼일아파트,36.7868062,127.58447643
CJB278000035,남하2리(둔덕),36.76823202,127.60273191
CJB278000036,남하1구,36.76795583,127.60284392
CJB278000037,충용늘푸른아파트,36.77176642,127.60052764
CJB278000038,충용늘푸른아파트,36.77186269,127.60063012
CJB278000039,증천리,36.77945261,127.59559695
CJB278000040,증천2리,36.78161465,127.59364312
CJB278000041,증평장뜰시장,36.78424604,127.58470769
CJB278000042,증평군립도서관,36.78993403,127.57850582
CJB278000043,증평군립도서관,36.79014249,127.57866385
CJB278000044,증평인삼판매장,36.79544084,127.58197255
CJB278000045,대성베르힐,36.78954973,127.59058957
CJB278000046,천년나무3단지.송산공원,36.79195885,127.58066032
CJB278000047,초중리.한삼인,36.77601253,127.57147708
CJB278000048,송산공원,36.79184963,127.58072515
CJB278000049,증평공업고등학교,36.78231901,127.59172819
CJB278000050,유니더스.용강리,36.77108852,127.61840342
CJB278000051,유니더스.용강리,36.77124478,127.61824507
CJB278000052,용강2.3리(곡강.외룡),36.77185152,127.61243946
CJB278000053,용강1리.내룡.증평군농업기술센터,36.77378639,127.60765514
CJB278000054,한국교통대 증평캠퍼스 앞,36.76740711,127.62236956
CJB278000055,증평인삼판매장,36.79552834,127.58184668
CJB279000001,신리,36.75982847,127.4202823
CJB279000002,신리,36.75970932,127.42041015
CJB279000003,교성리,36.85433385,127.43143617
CJB279000004,진천신협,36.85861038,127.44328741
CJB279000005,진천경찰서,36.85562399,127.44497083
CJB279000006,농협중앙회,36.85452431,127.44313207
CJB279000007,길상사,36.85105521,127.42763391
CJB279000008,잣고개,36.84036567,127.4151467
CJB279000009,사석삼거리,36.8259743,127.41115312
CJB279000010,진천읍행정복지센터,36.85460669,127.44135366
CJB279000011,교성리,36.85435082,127.43188219
CJB279000012,한전.진천군청,36.85451921,127.43558907
CJB279000013,문화의집.진천교육청,36.85448837,127.43985456
CJB279000014,진천종합터미널,36.85986846,127.43866555
CJB279000015,읍내2리.진천중앙시장,36.85680151,127.44203658
CJB279000016,신양4차,36.85474984,127.43712378
CJB279000017,길상사,36.85133756,127.42776208
CJB279000018,잣고개,36.84040592,127.41502689
CJB279000019,석박,36.83188836,127.41221608
CJB279000020,석박,36.83220693,127.41252611
CJB279000021,사석파출소.삼거리,36.82471457,127.4109019
CJB279000022,성암,36.82171905,127.41265304
CJB279000023,성암,36.82160948,127.41258682
CJB279000024,진천중앙시장,36.85796831,127.444748
CJB279000028,오비티.한국하이맥스,36.77099363,127.44542442
CJB279000029,계산리(산직),36.77997263,127.41130894
CJB279000030,낙계,36.77862171,127.41144878
CJB279000031,신리,36.76225067,127.4192819
CJB279000032,안기,36.77267603,127.41357089
CJB279000033,안기,36.77245394,127.41357926
CJB279000034,옥성,36.77824576,127.43910347
CJB279000035,석복,36.78031616,127.4368641
CJB279000036,개천이,36.81078974,127.42319481
CJB279000037,개천이,36.81077759,127.42355072
CJB279000038,게네기,36.79731853,127.43598926
CJB279000039,석복,36.78037959,127.43698493
CJB279000040,옥성,36.7786347,127.43890781
CJB279000041,문백어린이집,36.77428465,127.44147537
CJB279000043,도하리,36.76495305,127.44781191
CJB279000044,상대음,36.75969357,127.44367715
CJB279000045,하대음,36.75626537,127.44600728
CJB279000046,태랑,36.80679751,127.43182819
CJB279000047,태랑,36.80662669,127.43177724
CJB279000048,게네기,36.79665989,127.43591484
CJB279000049,봉옥,36.78342539,127.43460345
CJB270000639,오송역7,36.61953529,127.32691625
CJB270000640,가락1리입구,36.6685343,127.38497484
CJB270000641,전원마을,36.6520689,127.33002579
CJB270000642,오송읍행정복지센터,36.60950831,127.32429192
CJB270000643,시티프라디움아파트,36.61909058,127.52093773
CJB270000644,시티프라디움아파트,36.61961759,127.52148625
CJB270000645,대원칸타빌더테라스1단지,36.61729958,127.51835461
CJB270000646,대원칸타빌더테라스1단지,36.61736693,127.51789115
CJB270000647,대원칸타빌더테라스2단지,36.61451068,127.52040111
CJB270000648,대성베르힐1단지,36.61438336,127.52015154
CJB270000649,동남파라곤아파트,36.6108042,127.52104966
CJB270000650,동남파라곤아파트,36.61083909,127.52131257
CJB270000651,동남파밀리에아파트,36.60863618,127.52226178
CJB270000652,동남파밀리에아파트,36.60851107,127.52202063
CJB270000653,용성초등학교,36.62311575,127.51953106
CJB270000654,오창제3산업단지종점,36.73362082,127.34739726
CJB270000655,오창제3산업단지종점,36.73370142,127.34756555
CJB270000656,구성3리.동물위생시험소,36.69289741,127.50359354
CJB270000657,낙가마을,36.62359723,127.53343876
CJB270000658,낙가동소류지,36.62261109,127.5317942
CJB270000659,신촌고개,36.61869668,127.52342795
CJB270000662,바이오폴리스A17지구,36.62349913,127.3198731
CJB270000663,바이오폴리스A17지구,36.62340417,127.32000128
CJB270000664,동아전기.한국전기공사협회,36.61843536,127.30415153
CJB270000665,동아전기.한국전기공사협회,36.61825534,127.30407257
CJB270000666,오송역동아라이크텐아파트,36.61723109,127.30901789
CJB270000667,오송역동아라이크텐아파트,36.61685996,127.30965918
CJB270000668,바이오폴리스C15지구,36.62224406,127.32330278
CJB270000669,바이오폴리스C15지구,36.62237058,127.32316636
CJB270000670,오송진흥아파트,36.61346782,127.32465502
CJB270000671,오송진흥아파트,36.61355592,127.32456596
CJB270000672,상정1리경로당,36.64648019,127.32737397
CJB270000673,상정1리경로당,36.64646038,127.32720614
CJB270000674,정중2리,36.62981877,127.30860695
CJB270000675,국가철도공단,36.63309619,127.30791282
CJB270000676,국가철도공단,36.63334068,127.30745258
CJB270000677,공북2리,36.63912526,127.3059772
CJB270000678,공북2리,36.6389743,127.30598499
CJB270000679,정중2리,36.62985514,127.30848131
CJB270000680,한라비발디,36.62815292,127.51437169
CJB270000681,옥당,36.85434392,127.44434422
CJB270000682,읍내4리,36.86059604,127.44594476
CJB270000683,웰빙테마장터,36.86091654,127.4493725
CJB270000684,사정1리버스종점,36.71421943,127.31596479
CJB270000685,사정1리,36.72141498,127.31677502
CJB270000686,사정1리,36.72149639,127.31666062
CJB270000687,강정마을,36.72390649,127.32101382
CJB270000688,강정마을,36.72394971,127.32086008
CJB270000689,성재4리(방화골),36.72399671,127.32759073
CJB270000690,성재4리(방화동),36.72115629,127.33394507
CJB270000691,성재4리(방화동),36.72104377,127.33390261
CJB270000692,사정2리(덕수),36.71724096,127.3395051
CJB270000693,성재2리(덕수),36.71709415,127.33963877
CJB270000694,옥산산업단지제1승강장,36.69348552,127.3775266
CJB270000695,옥산산업단지,36.69533857,127.36484629
CJB270000696,옥산산업단지,36.69541217,127.36508722
CJB270000697,옥산산업단지제4승강장,36.70186992,127.37341579
CJB270000698,옥산산업단지제4승강장,36.70207979,127.3733021
CJB270000699,옥산산업단지제2승강장,36.69896562,127.37498799
CJB270000700,옥산산업단지제2승강장,36.69916175,127.37494418
CJB270000701,옥산산업단지제3승강장,36.69551318,127.36594093
CJB270000702,옥산산업단지제3승강장,36.69532816,127.36603517
CJB270000703,옥산산업단지제5승강장,36.69353855,127.37714362
CJB270000704,오송역북문,36.623648,127.32480391
CJB270000705,오송읍행정복지센터,36.60987582,127.32252181
CJB270000706,갈원리,36.57626496,127.3959795
CJB270000707,왕샘길,36.61471425,127.53797181
CJB270000708,왕샘길,36.61478217,127.53789682
CJB270000709,운동중학교,36.60368475,127.51285681
CJB270000710,운동중학교,36.6034783,127.51266824
CJB270000711,동부종점,36.62628484,127.51760703
CJB270000712,학소리,36.74544547,127.471255
CJB270000713,모정1리,36.75117207,127.46896644
CJB270000714,모정1리,36.74950156,127.46697987
CJB270000715,모정2리,36.74594161,127.46192794
CJB270000716,원평종점,36.67316467,127.43449906
CJB270000718,비하종점,36.64272376,127.42220084
CJB270000719,비하종점,36.64330858,127.42182383
CJB270000720,비하종점,36.64340393,127.42161747
CJB270000721,성재세월교,36.71886978,127.33790602
CJB270000722,동남우미린풀하우스아파트,36.6022715,127.5072369
CJB270000723,동남우미린풀하우스아파트,36.60207581,127.50716577
CJB270000725,용박골,36.61910628,127.52659153
CJB270000726,용박골(임시),36.61926471,127.52642493
CJB270000727,초롱꽃유치원,36.60708621,127.52072286
CJB270000728,초롱꽃유치원,36.60680129,127.51993297
CJB270000729,동남힐데스하임아파트,36.60554471,127.51775063
CJB270000730,동남힐데스하임아파트,36.60588081,127.51868615
CJB279000050,봉옥,36.7842425,127.43492674
CJB279000051,문백어린이집,36.77427858,127.44123445
CJB279000053,다랑들,36.76926684,127.44673459
CJB279000054,도하리,36.76491878,127.44759984
CJB279000055,상대음,36.75978763,127.4435281
CJB279000056,하대음,36.7561838,127.44590016
CJB279000057,신리,36.76217746,127.41918286
CJB279000058,낙계,36.77870375,127.41131556
CJB279000059,계산리(산직),36.78002141,127.411443
CJB279000060,계산리,36.78091735,127.40751501
CJB279000061,전원마을,36.8475498,127.42204619
CJB279000062,계산리,36.78075472,127.4074051
CJB279000063,진천종합터미널,36.85993352,127.43812766
CJB279000064,산직1교,36.76945026,127.41458932
CJB279000065,산직1교,36.76941935,127.41440715
CJB283000001,한솔초등학교,36.61769665,127.47608597
CJB283000002,한솔초등학교,36.61786116,127.47565216
CJB283000003,한마음2차아파트,36.62007061,127.47125365
CJB283000004,청주우편집중국,36.62068306,127.4694923
CJB283000005,청주우편집중국,36.62081445,127.46941616
CJB283000006,수곡중학교,36.61469898,127.47465542
CJB283000007,수곡중학교,36.61462959,127.47443974
CJB283000008,수곡2동행정복지센터,36.61696076,127.47345063
CJB283000009,수곡2동행정복지센터.두꺼비시장,36.617149,127.47345667
CJB283000010,세원홍실아파트,36.61995647,127.4711214
CJB283000011,CJB컨벤션센터,36.61905561,127.46935885
CJB283000012,금성자동차학원,36.61462679,127.47197301
CJB283000016,사직평화아파트.충청일보,36.64446549,127.47914336
CJB283000017,사직평화아파트.충청일보,36.64322997,127.47925328
CJB283000018,청주체육관,36.63556306,127.47479777
CJB283000019,사직사거리.시립미술관(교육도서관),36.63593697,127.47794433
CJB283000020,사직분수대,36.63637189,127.48179946
CJB283000021,사직1동행정복지센터,36.64128105,127.47929113
CJB283000022,사직1동행정복지센터,36.64093798,127.47906944
CJB283000023,사직미호아파트,36.63803381,127.47913376
CJB283000024,사직미호아파트,36.63807658,127.47892436
CJB283000025,종합운동장.청주의료원,36.63857802,127.47359021
CJB283000026,청주체육관,36.63533062,127.47406732
CJB283000028,사직사거리.시립미술관(교육도서관),36.63572991,127.47811088
CJB283000029,푸르지오캐슬1.2단지,36.63280689,127.46864006
CJB283000030,푸르지오캐슬4.5단지,36.62990939,127.46855056
CJB283000031,푸르지오캐슬1.2단지,36.6333986,127.46883587
CJB283000032,푸르지오캐슬4.5단지,36.62990733,127.46872823
CJB283000033,모충주공2단지아파트,36.62767182,127.46893355
CJB283000034,청주농협,36.62098885,127.48780639
CJB283000035,청주농협,36.62100559,127.4874442
CJB283000036,서원대학교,36.62638656,127.48607476
CJB283000037,서원대학교,36.62629816,127.48590252
CJB283000038,모충초등학교.LH트릴로채아파트,36.62895866,127.4782877
CJB283000039,모충초등학교.LH트릴로채아파트,36.62891372,127.47905699
CJB283000040,모충주공아파트,36.62768915,127.47349232
CJB283000041,모충주공아파트,36.62776389,127.47398444
CJB283000042,모충동행정복지센터,36.62870141,127.47619248
CJB283000043,모충동행정복지센터,36.6285776,127.47624172
CJB283000044,모충교,36.62830688,127.48296773
CJB283000045,모충교,36.62819087,127.48285251
CJB283000046,꽃다리,36.62537097,127.48786878
CJB283000047,꽃다리,36.62566825,127.48702528
CJB283000048,꽃다리.아동복지관,36.62395878,127.48864509
CJB283000049,꽃다리.아동복지관,36.62406039,127.48830626
CJB283000050,모충금호아파트,36.62687639,127.47148021
CJB283000051,모충주공2단지,36.62685949,127.47101166
CJB283000052,청주남중학교,36.61387066,127.48543924
CJB283000053,청주교육대학교,36.6174112,127.48680444
CJB283000054,청주교육대학교,36.61711247,127.48636102
CJB283000055,수곡우체국,36.61337726,127.48567815
CJB283000056,수곡1동행정복지센터,36.61857995,127.47938654
CJB283000057,산남주공아파트,36.61843903,127.47930999
CJB283000058,청렴연수원.기적의도서관,36.61828539,127.48334011
CJB283000059,청렴연수원.기적의도서관,36.61844061,127.4830933
CJB283000060,청주남중학교,36.61583712,127.48638306
CJB283000061,수영교사거리,36.61556584,127.49082158
CJB283000062,수영교사거리,36.61537004,127.49057846
CJB283000063,분평휴먼시아2단지아파트,36.61127963,127.49258646
CJB283000064,금성자동차학원,36.61473805,127.47147408
CJB283000065,용평입구,36.59009378,127.48854136
CJB283000066,용평입구,36.58987564,127.48827649
CJB283000067,장암동마을회관,36.58539867,127.48220428
CJB270000731,월운4교,36.60420879,127.51514871
CJB270000732,월운4교,36.60448435,127.51602512
CJB270000733,월운6교,36.60208456,127.5109183
CJB270000734,월운6교,36.60211516,127.51061115
CJB270000735,예비군훈련장,36.66827954,127.50501031
CJB270000736,율량LH9단지.제일풍경채아파트,36.65994016,127.51070199
CJB270000737,가중2리,36.57267573,127.47106056
